,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.43696027250699787,0.5726882956239003,0.5412488591321071,0.0004417896270751953,6.4849853515625e-05
Ridge Regression,0.4371708139368785,0.5726007721468399,0.5410464661158446,0.00037360191345214844,5.1975250244140625e-05
Lasso Regression,-0.021658163450180234,0.7364561338573814,0.9821177589947001,0.00041866302490234375,6.365776062011719e-05
ElasticNet Regression,0.11699661179475684,0.6972284111337167,0.8488292266762171,0.00035643577575683594,6.175041198730469e-05
Bayesian Ridge Regression,0.4377946081352231,0.5723254361120881,0.5404468141167033,0.0009052753448486328,5.91278076171875e-05
ARD Regression,0.4377811715953501,0.5722339705335301,0.5404597306331084,0.0008327960968017578,6.67572021484375e-05
SGD Regressor,0.43673417862135455,0.5743598912264442,0.5414662026900939,0.0004222393035888672,5.4836273193359375e-05
Passive Aggressive Regressor,-0.16137147969794063,0.7443023965362843,1.1164238644650348,0.0003364086151123047,4.839897155761719e-05
Support Vector Regression,0.3603796706698068,0.5761709632764511,0.6148656242591203,0.0022215843200683594,0.0005249977111816406
MLP Regressor,0.38935543552430774,0.5616371075919607,0.5870112848507634,0.0937507152557373,0.00012040138244628906
Random Forest Regressor,0.31167651353746373,0.5904904050712133,0.6616838627365109,0.09193778038024902,0.004462242126464844
Gradient Boosting Regressor,0.2441762754737017,0.6350883405515804,0.7265716940194481,0.05497932434082031,0.0003733634948730469
XGBoost Regressor,0.16225088559284417,0.6697185147421367,0.8053263922081623,0.05450320243835449,0.0010347366333007812
AdaBoost Regressor,0.34832173774208397,0.6217560858182822,0.6264568888217129,0.05608510971069336,0.0037755966186523438
Bagging Regressor,0.2742653640812305,0.6038816330487647,0.6976471189212331,0.02266383171081543,0.0011775493621826172
ExtraTrees Regressor,0.2532301248103198,0.6143890827382591,0.7178682484455131,0.07097959518432617,0.003464221954345703
HistGradientBoosting Regressor,0.23614719028416797,0.6295694913066776,0.7342900360591111,0.05864143371582031,0.0009920597076416016
Stacking Regressor,0.4325016777291153,0.569160730742351,0.5455348965447891,0.060750484466552734,0.0007116794586181641
Voting Regressor,0.34987164227232503,0.5785530277127188,0.6249669689851645,0.0591278076171875,0.0009436607360839844
Custom MLP,0.349303717686794,0.603299585895229,0.6255129136476493,0.5411460399627686,1.7404556274414062e-05
FONN1,0.17347408913068862,0.6407470073545337,0.7945375511831899,6.513410806655884,0.0005514621734619141
Tree-based Predictions (FONN1),0.35426242195007296,0.5949699148629967,0.6207461220799858,0.007777214050292969,0.0008516311645507812
TREENN1,0.2522813156984335,0.6757049814183507,0.7187803365705008,1.3343794345855713,0.00011324882507324219
Tree-based Predictions (TREENN1),0.19014599447968072,0.6334939776153797,0.7785108850190112,0.0008263587951660156,0.0002048015594482422
FONN2,0.03080159260801818,0.6529445239820993,0.9316883101824911,3.3327879905700684,0.0004596710205078125
Tree-based Predictions (FONN2),0.35426242195007296,0.5949699148629967,0.6207461220799858,0.005651950836181641,0.0008175373077392578
TREENN2,0.23955855537831705,0.6327170417932916,0.7310106982519682,0.9811992645263672,8.344650268554688e-05
Tree-based Predictions (TREENN2),0.19014599447968072,0.6334939776153797,0.7785108850190112,0.0006935596466064453,0.00020456314086914062
Ensemble of 10 Trees,0.35426242195007296,0.5949699148629967,0.6207461220799858,0.006018877029418945,0.0007367134094238281
