2025-03-10 16:34:25,986 - INFO - Loading dataset...
2025-03-10 16:34:26,673 - INFO - Input dimension: 12
2025-03-10 16:34:26,673 - INFO - Hidden dimension: 64
2025-03-10 16:34:26,673 - INFO - Output dimension: 1
2025-03-10 16:34:26,673 - INFO - Number of trees (for forest models): 20
2025-03-10 16:34:26,673 - INFO -
Evaluating Tree Models...
2025-03-10 16:34:26,673 - INFO -
Initializing TREENN1...
2025-03-10 16:34:26,673 - INFO - Model class: TREENN1
2025-03-10 16:34:26,676 - INFO - TREENN1 model initialized successfully!
2025-03-10 16:34:26,677 - INFO - TREENN1 architecture:
2025-03-10 16:34:26,677 - INFO - Input dimension: 12
2025-03-10 16:34:26,677 - INFO - Hidden dimension: 64
2025-03-10 16:34:26,677 - INFO - Output dimension: 1
2025-03-10 16:34:26,677 - INFO - Applying regularization: L2 strength=0.001, Dropout rate=0.2
2025-03-10 16:34:26,677 - INFO - Training TREENN1...
Epoch 0, Loss: 1.366264953219041
2025-03-10 16:34:26,788 - INFO - TREENN1 Epoch 0:
2025-03-10 16:34:26,788 - INFO - Train MSE: 1.0657, Test MSE: 1.1503
2025-03-10 16:34:26,789 - INFO - Train R²: -0.0657, Test R²: -0.3627
2025-03-10 16:34:26,789 - INFO - Train MAE: 0.7818, Test MAE: 0.8109
2025-03-10 16:34:26,789 - INFO - Overfit ratio (train R² / test R²): 0.1812
Epoch 0, Loss: 1.2286653932891658
Epoch 0, Loss: 1.0443648710388236
Epoch 0, Loss: 1.0491680594989983
Epoch 0, Loss: 0.9705111511102025
Epoch 0, Loss: 0.845001301132329
Epoch 0, Loss: 0.8767513782360841
Epoch 0, Loss: 0.7835598230980482
Epoch 0, Loss: 0.7531491139721019
Epoch 0, Loss: 0.7700424457803954
Epoch 0, Loss: 0.7353486381676136
Epoch 0, Loss: 0.6950046369709174
Epoch 0, Loss: 0.6496312562504567
Epoch 0, Loss: 0.6931002968493791
Epoch 0, Loss: 0.6410007777361139
Epoch 0, Loss: 0.6581762321392892
Epoch 0, Loss: 0.6297844832455093
Epoch 0, Loss: 0.6797186227224437
Epoch 0, Loss: 0.6184445781196056
Epoch 0, Loss: 0.6921819197768496
Epoch 0, Loss: 0.6522381970190606
Epoch 0, Loss: 0.575316379738379
Epoch 0, Loss: 0.5912499985856285
Epoch 0, Loss: 0.5824870406010619
Epoch 0, Loss: 0.561101820083289
Epoch 0, Loss: 0.5967701604744441
Epoch 0, Loss: 0.613771384951879
Epoch 0, Loss: 0.5054809682540296
Epoch 0, Loss: 0.5618391846359284
Epoch 0, Loss: 0.5778169132341193
Epoch 0, Loss: 0.5036377249756427
Epoch 0, Loss: 0.5164853770752641
Epoch 0, Loss: 0.5188686439985408
Epoch 0, Loss: 0.5186227117400948
Epoch 0, Loss: 0.5030601031688958
Epoch 0, Loss: 0.5101922763795702
Epoch 0, Loss: 0.48880453046698463
Epoch 0, Loss: 0.44265134113109855
Epoch 0, Loss: 0.5464949845336984
Epoch 0, Loss: 0.5512978112282237
Epoch 0, Loss: 0.5224631428723477
Epoch 0, Loss: 0.5288794968538836
Epoch 0, Loss: 0.502529151468996
Epoch 0, Loss: 0.524087739748801
Epoch 0, Loss: 0.5285620045595564
Epoch 0, Loss: 0.47923496509635516
Epoch 0, Loss: 0.47829904181980404
Epoch 0, Loss: 0.500411822834604
Epoch 0, Loss: 0.47053665107245574
Epoch 0, Loss: 0.5137414407158649
Epoch 0, Loss: 0.42113962680070394
